ID_QUEJA,FECHA_REGISTRO,DEPARTAMENTO,REPORTANTE_TIPO,TIPO_QUEJA,CANAL_RECEPCION,MUNICIPIO,CODIGO_PUESTO,CLASE_QUEJA,DESCRIPCION,ESTADO_QUEJA,RECEPTOR,LATITUD_QUEJA,LONGITUD_QUEJA,FOTO_URL,OBSERVACIONES,MESA,DIRECCION,TELEFONO,EMAIL
68,2025-10-07,BOGOTA D.C.,DEFENSORIA,PROCEDIMIENTO,APP,BOGOTA,117473151,TRANSPORTE IRREGULAR,Se impide el acceso a testigos acreditados. Incumplimiento del procedimiento establecido por jurados.,CERRADA,MESA AYUDA,4.649749,-74.097072,https://example.com/fotos/68.jpg,,20,"Cll 86 #158-62, BOGOTA",3100623120,natalia.martinez68@correo.com
69,2025-10-31,BOLÍVAR,CIUDADANO,QUEMA,WHATSAPP,CARTAGENA,139086891,INTERVENCIÓN EN POLÍTICA,Ingresan votos ya marcados en sobres irregulares. Reporte de intento de quema de material electoral.,EN TRÁMITE,MESA AYUDA,10.342517,-75.486135,https://example.com/fotos/69.jpg,Remitido a Personería.,10,"Cll 106 #21-84, CARTAGENA",3398454615,jorge.mora20@mail.com
70,2025-10-01,VALLE DEL CAUCA,CIUDADANO,PROCEDIMIENTO,PORTAL,CALI,764475805,IRREGULARIDAD EN MESA,Presunta suplantación de identidad en la mesa de votación. Incumplimiento del procedimiento establecido por jurados.,EN TRÁMITE,OPERADOR 1,3.32057,-76.546903,https://example.com/fotos/70.jpg,Coordinación con Policía Metropolitana.,30,"Cra 39 #42-73, CALI",3401489025,carlos.sanchez28@gmail.com
71,2025-10-14,BOGOTA D.C.,DEFENSORIA,PROCEDIMIENTO,SEDE ELECTRÓNICA,BOGOTA,117607302,COMPRA DE VOTOS,Conato de riña entre simpatizantes en las inmediaciones del puesto. Incumplimiento del procedimiento establecido por jurados.,EN TRÁMITE,OPERADOR 1,4.674011,-74.036673,https://example.com/fotos/71.jpg,,25,"Diag 38 #64-92, BOGOTA",3504773586,maria.flores78@gmail.com
72,2025-10-28,VALLE DEL CAUCA,PROCURADURIA,PROCEDIMIENTO,REDES,CALI,760947104,COMPRA DE VOTOS,Se reporta material electoral deteriorado o con tachaduras. Incumplimiento del procedimiento establecido por jurados.,REGISTRADA,OPERADOR 1,3.318048,-76.578409,https://example.com/fotos/72.jpg,Coordinación con Policía Metropolitana.,13,"Cra 93 #144-32, CALI",3101581995,natalia.suarez66@gmail.com
73,2025-10-26,CALDAS,DEFENSORIA,FRAUDE,TELÉFONO,MANIZALES,170444022,LOGÍSTICA,Se impide el acceso a testigos acreditados. Posible manipulación de conteo o daño de votos.,REGISTRADA,OPERADOR 1,5.062533,-75.471468,https://example.com/fotos/73.jpg,Coordinación con Policía Metropolitana.,27,"Cll 77 #35-39, MANIZALES",3712406596,sebastian.mejia79@mail.com
74,2025-10-27,ANTIOQUIA,PROCURADURIA,QUEMA,APP,MEDELLIN,057697327,COMPRA DE VOTOS,Conato de riña entre simpatizantes en las inmediaciones del puesto. Reporte de intento de quema de material electoral.,CERRADA,OPERADOR 2,6.28461,-75.5518,https://example.com/fotos/74.jpg,Coordinación con Policía Metropolitana.,5,"Cll 39 #62-33, MEDELLIN",3982807374,daniel.lopez73@mail.com
75,2025-10-04,BOGOTA D.C.,PERSONERIA,FRAUDE,PORTAL,BOGOTA,114097859,COMPRA DE VOTOS,Vehículos transportando votantes con logos partidarios. Posible manipulación de conteo o daño de votos.,REGISTRADA,MESA AYUDA,4.727485,-74.055386,https://example.com/fotos/75.jpg,Remitido a Personería.,15,"Av 51 #119-99, BOGOTA",3290965610,jorge.sanchez85@ejemplo.co
76,2025-10-30,CALDAS,CIUDADANO,FRAUDE,PORTAL,MANIZALES,171913424,LOGÍSTICA,Vehículos transportando votantes con logos partidarios. Posible manipulación de conteo o daño de votos.,REGISTRADA,OPERADOR 1,5.082852,-75.524926,https://example.com/fotos/76.jpg,Remitido a Personería.,18,"Cl 43 #144-55, MANIZALES",3514010512,sebastian.lopez57@gmail.com
77,2025-10-20,BOLÍVAR,PERSONERIA,FRAUDE,TELÉFONO,CARTAGENA,138440227,COMPRA DE VOTOS,Conato de riña entre simpatizantes en las inmediaciones del puesto. Posible manipulación de conteo o daño de votos.,REGISTRADA,MESA AYUDA,10.377097,-75.501394,https://example.com/fotos/77.jpg,,12,"Av 109 #118-80, CARTAGENA",3553714785,maria.restrepo14@mail.com
78,2025-10-02,BOGOTA D.C.,CIUDADANO,QUEMA,SEDE ELECTRÓNICA,BOGOTA,113165413,COACCIÓN,Entrega de publicidad a menos de 100 metros del puesto. Reporte de intento de quema de material electoral.,REGISTRADA,OPERADOR 1,4.762946,-74.081144,https://example.com/fotos/78.jpg,Remitido a Personería.,7,"Tv 72 #130-84, BOGOTA",3827422579,andres.castro82@mail.com
79,2025-10-07,BOLÍVAR,PERSONERIA,PROCEDIMIENTO,PORTAL,CARTAGENA,137202275,COACCIÓN,Ingresan votos ya marcados en sobres irregulares. Incumplimiento del procedimiento establecido por jurados.,REGISTRADA,OPERADOR 1,10.405461,-75.490993,https://example.com/fotos/79.jpg,Se solicita evidencia adicional.,28,"Cra 58 #68-45, CARTAGENA",3914858078,sebastian.suarez66@correo.com
80,2025-10-05,VALLE DEL CAUCA,DEFENSORIA,FRAUDE,TELÉFONO,CALI,767885551,COMPRA DE VOTOS,Ingresan votos ya marcados en sobres irregulares. Posible manipulación de conteo o daño de votos.,REGISTRADA,OPERADOR 1,3.396595,-76.460846,https://example.com/fotos/80.jpg,Coordinación con Policía Metropolitana.,16,"Cl 74 #162-35, CALI",3812604223,juan.torres74@ejemplo.co
81,2025-10-19,BOLÍVAR,DEFENSORIA,FRAUDE,PORTAL,CARTAGENA,133077746,DAÑO DE MATERIAL,Entrega de publicidad a menos de 100 metros del puesto. Posible manipulación de conteo o daño de votos.,REGISTRADA,OPERADOR 2,10.400028,-75.540938,https://example.com/fotos/81.jpg,Se solicita evidencia adicional.,29,"Cll 98 #13-6, CARTAGENA",3363745458,daniel.rodriguez69@gmail.com
82,2025-10-07,VALLE DEL CAUCA,PROCURADURIA,FRAUDE,WHATSAPP,CALI,762616192,TRANSPORTE IRREGULAR,Presunta suplantación de identidad en la mesa de votación. Posible manipulación de conteo o daño de votos.,REGISTRADA,OPERADOR 2,3.437759,-76.482862,https://example.com/fotos/82.jpg,Remitido a Personería.,17,"Cll 57 #3-2, CALI",3206436110,daniel.ramirez11@ejemplo.co
83,2025-10-28,ANTIOQUIA,PROCURADURIA,QUEMA,REDES,MEDELLIN,050813238,TRANSPORTE IRREGULAR,Se observa intercambio de dinero y propaganda dentro del perímetro no permitido. Reporte de intento de quema de material electoral.,REGISTRADA,OPERADOR 2,6.325251,-75.502014,https://example.com/fotos/83.jpg,Remitido a Personería.,25,"Cra 76 #187-50, MEDELLIN",3927532697,luisa.gomez9@correo.com
84,2025-10-21,ANTIOQUIA,DEFENSORIA,FRAUDE,TELÉFONO,MEDELLIN,056676863,PROPAGANDA,Vehículos transportando votantes con logos partidarios. Posible manipulación de conteo o daño de votos.,REGISTRADA,MESA AYUDA,6.353017,-75.616534,https://example.com/fotos/84.jpg,,12,"Av 17 #100-73, MEDELLIN",3640376137,laura.mejia66@mail.com
85,2025-10-13,BOLÍVAR,CIUDADANO,QUEMA,WHATSAPP,CARTAGENA,130075654,PROPAGANDA,Se observa intercambio de dinero y propaganda dentro del perímetro no permitido. Reporte de intento de quema de material electoral.,REGISTRADA,OPERADOR 1,10.398466,-75.468047,https://example.com/fotos/85.jpg,Se solicita evidencia adicional.,23,"Tv 94 #62-8, CARTAGENA",3414183285,paula.rodriguez82@mail.com
86,2025-10-23,BOGOTA D.C.,CIUDADANO,QUEMA,SEDE ELECTRÓNICA,BOGOTA,117177195,LOGÍSTICA,Se observa intercambio de dinero y propaganda dentro del perímetro no permitido. Reporte de intento de quema de material electoral.,EN TRÁMITE,MESA AYUDA,4.501037,-74.16531,https://example.com/fotos/86.jpg,Coordinación con Policía Metropolitana.,15,"Diag 47 #15-64, BOGOTA",3410564814,diana.hernandez48@mail.com
87,2025-10-04,CALDAS,CIUDADANO,FRAUDE,SEDE ELECTRÓNICA,MANIZALES,170824319,VIOLENCIA,Larga fila y demoras inusuales en la mesa. Posible manipulación de conteo o daño de votos.,EN TRÁMITE,OPERADOR 1,5.020026,-75.524269,https://example.com/fotos/87.jpg,Remitido a Personería.,8,"Diag 6 #103-9, MANIZALES",3353654195,carlos.suarez92@gmail.com
88,2025-10-01,BOLÍVAR,CIUDADANO,QUEMA,APP,CARTAGENA,132536454,INTERVENCIÓN EN POLÍTICA,Se reporta material electoral deteriorado o con tachaduras. Reporte de intento de quema de material electoral.,REGISTRADA,OPERADOR 2,10.478565,-75.457177,https://example.com/fotos/88.jpg,,7,"Diag 31 #108-63, CARTAGENA",3206038505,camila.suarez98@mail.com
89,2025-10-15,VALLE DEL CAUCA,CIUDADANO,QUEMA,WHATSAPP,CALI,764847556,VIOLENCIA,Se observa intercambio de dinero y propaganda dentro del perímetro no permitido. Reporte de intento de quema de material electoral.,CERRADA,MESA AYUDA,3.513963,-76.580068,https://example.com/fotos/89.jpg,Remitido a Personería.,5,"Diag 14 #40-14, CALI",3623445655,paula.rodriguez76@correo.com
90,2025-10-28,BOGOTA D.C.,DEFENSORIA,FRAUDE,SEDE ELECTRÓNICA,BOGOTA,112116860,VIOLENCIA,Vehículos transportando votantes con logos partidarios. Posible manipulación de conteo o daño de votos.,REGISTRADA,OPERADOR 2,4.631844,-74.20265,https://example.com/fotos/90.jpg,Remitido a Personería.,4,"Tv 14 #36-16, BOGOTA",3568044206,sofia.gomez12@mail.com
91,2025-10-01,VALLE DEL CAUCA,PROCURADURIA,FRAUDE,TELÉFONO,CALI,769059091,COMPRA DE VOTOS,Conato de riña entre simpatizantes en las inmediaciones del puesto. Posible manipulación de conteo o daño de votos.,REGISTRADA,MESA AYUDA,3.313567,-76.490666,https://example.com/fotos/91.jpg,Remitido a Personería.,12,"Cl 117 #48-36, CALI",3107029667,valentina.gomez12@ejemplo.co
92,2025-10-06,ANTIOQUIA,PROCURADURIA,PROCEDIMIENTO,SEDE ELECTRÓNICA,MEDELLIN,054034672,LOGÍSTICA,Ingresan votos ya marcados en sobres irregulares. Incumplimiento del procedimiento establecido por jurados.,REGISTRADA,MESA AYUDA,6.254742,-75.644733,https://example.com/fotos/92.jpg,,29,"Av 8 #121-68, MEDELLIN",3787598564,natalia.garcia49@ejemplo.co
93,2025-10-27,ANTIOQUIA,PROCURADURIA,FRAUDE,WHATSAPP,MEDELLIN,050928738,VIOLENCIA,Se reporta material electoral deteriorado o con tachaduras. Posible manipulación de conteo o daño de votos.,REGISTRADA,MESA AYUDA,6.3157,-75.500067,https://example.com/fotos/93.jpg,Remitido a Personería.,16,"Cra 12 #15-30, MEDELLIN",3590599293,andres.hernandez31@ejemplo.co
94,2025-10-26,CALDAS,PROCURADURIA,FRAUDE,APP,MANIZALES,179830597,COACCIÓN,Se impide el acceso a testigos acreditados. Posible manipulación de conteo o daño de votos.,REGISTRADA,OPERADOR 1,5.026257,-75.487355,https://example.com/fotos/94.jpg,Remitido a Personería.,23,"Diag 89 #158-46, MANIZALES",3691545226,laura.rivera10@ejemplo.co
95,2025-10-27,BOGOTA D.C.,DEFENSORIA,QUEMA,APP,BOGOTA,119939906,COACCIÓN,Se impide el acceso a testigos acreditados. Reporte de intento de quema de material electoral.,REGISTRADA,OPERADOR 1,4.709591,-74.047519,https://example.com/fotos/95.jpg,Coordinación con Policía Metropolitana.,1,"Av 27 #64-89, BOGOTA",3725135521,carolina.sanchez82@correo.com
96,2025-10-06,VALLE DEL CAUCA,CIUDADANO,PROCEDIMIENTO,WHATSAPP,CALI,769843514,COMPRA DE VOTOS,Se observa intercambio de dinero y propaganda dentro del perímetro no permitido. Incumplimiento del procedimiento establecido por jurados.,REGISTRADA,OPERADOR 2,3.377106,-76.489817,https://example.com/fotos/96.jpg,,11,"Diag 79 #124-91, CALI",3104054115,pablo.sanchez21@gmail.com
97,2025-10-07,VALLE DEL CAUCA,PROCURADURIA,PROCEDIMIENTO,PORTAL,CALI,769459562,IRREGULARIDAD EN MESA,Ingresan votos ya marcados en sobres irregulares. Incumplimiento del procedimiento establecido por jurados.,REGISTRADA,OPERADOR 1,3.394891,-76.508491,https://example.com/fotos/97.jpg,Remitido a Personería.,21,"Av 11 #122-15, CALI",3205061497,jorge.martinez51@gmail.com
98,2025-10-27,ANTIOQUIA,CIUDADANO,PROCEDIMIENTO,APP,MEDELLIN,058342422,INTERVENCIÓN EN POLÍTICA,Vehículos transportando votantes con logos partidarios. Incumplimiento del procedimiento establecido por jurados.,REGISTRADA,OPERADOR 2,6.319127,-75.589939,https://example.com/fotos/98.jpg,Coordinación con Policía Metropolitana.,19,"Cl 61 #77-11, MEDELLIN",3158693806,carlos.gomez97@correo.com
99,2025-10-11,BOLÍVAR,PROCURADURIA,PROCEDIMIENTO,SEDE ELECTRÓNICA,CARTAGENA,131998149,PROPAGANDA,Entrega de publicidad a menos de 100 metros del puesto. Incumplimiento del procedimiento establecido por jurados.,CERRADA,OPERADOR 2,10.484444,-75.464283,https://example.com/fotos/99.jpg,,26,"Cll 80 #151-67, CARTAGENA",3945116868,miguel.perez81@mail.com
100,2025-10-02,BOLÍVAR,CIUDADANO,PROCEDIMIENTO,SEDE ELECTRÓNICA,CARTAGENA,137888265,PROPAGANDA,Se reporta material electoral deteriorado o con tachaduras. Incumplimiento del procedimiento establecido por jurados.,EN TRÁMITE,OPERADOR 1,10.358003,-75.532043,https://example.com/fotos/100.jpg,Se solicita evidencia adicional.,1,"Av 105 #78-40, CARTAGENA",3629960653,sebastian.martinez23@ejemplo.co
